foia,request_date,due_dat,execute_dat,delta_days,compliant
12-0124 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0125 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0126 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0127 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0128 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0129 , 2012-01-12 , 2012-01-19 , 2012-01-13 , 1 , True
12-0130 , 2012-01-12 , 2012-01-19 , 2012-01-18 , 6 , False
12-0131 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0132 , 2012-01-12 , 2012-01-19 , 2012-01-13 , 1 , True
12-0133 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0134 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0135 , 2012-01-12 , 2012-01-19 , 2012-01-26 , 14 , False
12-0136 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0137 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0138 , 2012-01-12 , 2012-01-19 , 2012-01-13 , 1 , True
12-0139 , 2012-01-12 , 2012-01-19 , 2012-01-20 , 8 , False
12-0140 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0141 , 2012-01-13 , 2012-01-20 , 2012-01-17 , 4 , True
12-0142 , 2012-01-13 , 2012-01-20 , 2012-01-13 , 0 , True
12-0143 , 2012-01-13 , 2012-01-20 , 2012-01-13 , 0 , True
12-0144 , 2012-01-13 , 2012-01-20 , 2012-01-13 , 0 , True
12-0145 , 2012-01-13 , 2012-01-20 , 2012-01-13 , 0 , True
12-0146 , 2012-01-13 , 2012-01-20 , 2012-01-18 , 5 , True
12-0147 , 2012-01-13 , 2012-01-20 , 2012-01-13 , 0 , True
12-0148 , 2012-01-13 , 2012-01-20 , 2012-01-18 , 5 , True
12-0149 , 2012-01-13 , 2012-01-20 , 2012-01-25 , 12 , False
12-0150 , 2012-01-17 , 2012-01-24 , 2012-01-19 , 2 , True
12-0151 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0152 , 2012-01-17 , 2012-01-24 , 2012-01-24 , 7 , False
12-0153 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0154 , 2012-01-17 , 2012-01-24 , 2012-01-24 , 7 , False
12-0155 , 2012-01-17 , 2012-01-24 , 2012-01-19 , 2 , True
12-0156 , 2012-01-17 , 2012-01-24 , 2012-01-18 , 1 , True
12-0157 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0158 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0159 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0160 , 2012-01-13 , 2012-01-20 , 2012-01-17 , 4 , True
12-0161 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0162 , 2012-01-17 , 2012-01-24 , 2012-01-20 , 3 , True
12-0163 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0164 , 2012-01-17 , 2012-01-24 , 2012-01-18 , 1 , True
12-0165 , 2012-01-17 , 2012-01-24 , 2012-01-24 , 7 , False
12-0166 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0167 , 2012-01-17 , 2012-01-24 , 2012-01-17 , 0 , True
12-0168 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0169 , 2012-01-18 , 2012-01-25 , 2012-01-26 , 8 , False
12-0170 , 2012-01-18 , 2012-01-25 , 2012-02-01 , 14 , False
12-0171 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0172 , 2012-01-18 , 2012-01-25 , 2012-01-20 , 2 , True
12-0173 , 2012-01-18 , 2012-01-25 , 2012-02-01 , 14 , False
12-0174 , 2012-01-18 , 2012-01-25 , 2012-05-18 , 121 , False
12-0175 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0176 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0177 , 2012-01-18 , 2012-01-25 , 2012-01-19 , 1 , True
12-0178 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0179 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0180 , 2012-01-18 , 2012-01-25 , 2012-01-20 , 2 , True
12-0181 , 2012-01-18 , 2012-01-25 , 2012-01-18 , 0 , True
12-0182 , 2012-01-17 , 2012-01-24 , 2012-01-18 , 1 , True
12-0183 , 2012-01-18 , 2012-01-25 , 2012-02-01 , 14 , False
12-0184 , 2012-01-18 , 2012-01-25 , 2012-01-19 , 1 , True
